asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90,regression
63235,Revspring Inc.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63234,iRobot Corporation,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63233,LendingClub Corporation,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63232,"EDL Manager, LLC",US,0,STUB: VULNERABLE,-1.0,2,3,,-1.0,-1.0,-1.0,False
63231,Lumia Security,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63230,Revspring Inc.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63229,Nocturnal Networks,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63228,"QuickPacket, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63260,Alyeska Inc.,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63259,"W Capital Management, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63258,"Web Hosting, Inc.",US,0,STUB: VULNERABLE,-1.0,2,2,,-1.0,-1.0,-1.0,False
63257,"Finthrive, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63256,"New York Structural Biology Center, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63255,THE HERTZ CORP.,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63254,Department of Information Technology,US,0,STUB: VULNERABLE,-1.0,2,2,,-1.0,-1.0,-1.0,False
63253,United States Senate Federal Credit Union,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63252,H5 Data Centers,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63251,"Metro Wireless International, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63250,yunxin llc,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63249,Roper Saint Francis Healthcare,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63248,"U.S. RENAL CARE, INC.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63246,"IntegraColor, Ltd.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63245,Microsoft Corporation,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63244,American Seafoods Company LLC,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63277,Unknown,XX,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63276,Champlain College,US,0,STUB: VULNERABLE,-1.0,2,2,,-1.0,-1.0,-1.0,False
63275,RadioWire.net,US,0,STUB: FORTUITOUS ROV,98.96,0,2,,0.9,96.9,100.0,False
63274,West Virginia State University,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63273,Amerisafe Inc.,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63272,Bruyere Health,CA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63271,"Online Datavault, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63270,Aerux LLP,US,0,STUB: VULNERABLE,0.0,1,5,,-1.0,-1.0,-1.0,False
63269,Boot Barn Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63268,"Petabit Scale, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63267,Fayetteville Public Utilities,US,0,STUB: VULNERABLE,0.0,2,2,,-1.0,-1.0,-1.0,False
63266,"Electronic Funds Source, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63265,MUFG Bank Ltd.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63263,RELX inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63262,LayerBridge,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63261,Graham Holdings Company,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63295,Oracle Corporation,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63294,DigitalFilm Tree LLC,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63292,DC74 LLC,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63291,"Addus Healthcare, Inc",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
