asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
62042,IFB FINWEST SA,RO,ripencc,0,STUB: VULNERABLE,False,,9050;8708,
62043,REPSOL S.A.,ES,ripencc,0,STUB: VULNERABLE,False,,3352;15830,
62044,Zscaler Switzerland GmbH,CH,ripencc,1,PARTIAL: VULNERABLE (Mixed),False,,7713;33891;20473;20485;9002;6461;6830;34927;30844;1299;6453;7575;3320;3257;8218;6939;3356;4637,
62045,Penta SA,CH,ripencc,0,NOT ROUTED,False,,,
62046,Naitex LLC,RU,ripencc,0,STUB: VULNERABLE,False,,28968;42291,
62047,Stowarzyszenie e-Poludnie,PL,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,20473,
62048,Avini cultural and Art Institute,IR,ripencc,0,STUB: VULNERABLE,False,,42337,
272848,HUASCARAN INVESTMENT GROUP S.A.C.,PE,lacnic,0,STUB: VULNERABLE,False,,64146;64130,
62050,AMICA SA,PL,ripencc,0,STUB: VULNERABLE,False,,20552;6939;13110,
62051,42NET LLC,US,arin,0,STUB: VULNERABLE,False,,42864;6939,
62053,Dynamic Parcel Distribution SA,RO,ripencc,0,NOT ROUTED,False,,,
62054,HORIZONT COMUNICAZIONI S.R.L.,IT,ripencc,0,STUB: VULNERABLE,False,,42764,
62055,SUVOZ GLOBAL SERVICES S.L.,ES,ripencc,0,STUB: VULNERABLE,False,,29119,
62056,State Budgetary Health Care Institution of Arkhangelsk Region - Medical Information and Analytical Centre,RU,ripencc,0,STUB: VULNERABLE,False,,20632,
62057,Quadient Shipping SA,FR,ripencc,0,NOT ROUTED,False,,,
62058,Belgian Radio-television of the French Community,BE,ripencc,0,STUB: VULNERABLE,False,,5488;2611,
62059,Turbo Leisure Ltd,GB,ripencc,0,STUB: VULNERABLE,False,,31122;9002;6939;3303,
62060,Timplus sp. z o.o.,PL,ripencc,0,NOT ROUTED,False,,,
62061,Ioannis Roditis trading as Greekstream Networks,GR,ripencc,0,NOT ROUTED,False,,,
62062,Open Media Group LLC,KZ,ripencc,0,STUB: VULNERABLE,False,,41798;9198,
62063,"Federal State Institution of Culture ""State Academic Bolshoi Theatre of Russia""",RU,ripencc,0,STUB: VULNERABLE,False,,8732,
62064,Closeness S.L.,ES,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,174,
62066,TOV Atracom,UA,ripencc,0,STUB: VULNERABLE,False,,12963,
62067,Telecom Service LLC,RU,ripencc,2,PARTIAL: VULNERABLE (Mixed),False,,57304;9002,
