asn,count,cone,name
202196,13,0,Booking.com BV
215724,13,0,"Edgevana, Inc."
5405,12,2714,Inter.link GmbH
3223,12,744,Voxility LLP
6327,12,611,Shaw Communications
29119,12,317,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL
60171,12,204,AFR-IX TELECOM S.A.
44901,12,150,Belcloud LTD
8551,12,141,Bezeq International Ltd.
21497,12,134,Vodafone Ukraine
4455,12,120,IX Reach Ltd
136557,12,87,Host Universal Pty Ltd
835,12,79,GoCodeIT Inc
30058,12,74,FDCservers.net
47147,12,68,Anexia Cloud Solutions GmbH
8473,12,67,Bahnhof AB
8767,12,67,M-net Telekommunikations GmbH
3399,12,66,Obenet AB
36994,12,62,Vodacom
63023,12,61,GTHost
26042,12,59,"FiberState, LLC"
6697,12,51,Beltelecom
46450,12,50,"Pilot Fiber, Inc."
44306,12,48,OMONIA d.o.o.
203446,12,43,SMARTNET Germany GmbH
9145,12,42,EWE TEL GmbH
28458,12,42,IENTC Telecom
13249,12,40,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP"""
17072,12,38,"TOTAL PLAY TELECOMUNICACIONES, S.A.P.I. DE C.V."
35133,12,34,Eranium B.V.
29278,12,32,Rackhost Zrt.
4538,12,32,China Education and Research Network Center
38757,12,31,PT Indonesia Comnets Plus
680,12,27,Deutsches Forschungsnetz (DFN)
24637,12,24,WEBDISCOUNT GmbH & Co. KG
57043,12,22,HOSTKEY B.V.
64289,12,19,Macarne.com
20326,12,19,TeraSwitch Networks Inc.
53828,12,19,"NETWORK INNOVATIONS, LLC"
42156,12,16,GNX B.V.
33182,12,16,"HostDime.com, Inc."
49121,12,16,"Infinity Telecom, s.r.o."
137831,12,15,SEA IX
8544,12,14,Primetel PLC
9957,12,14,KINX
39326,12,13,Syntura Group Limited
210021,12,13,DIL Technology Limited
215638,12,13,Cilix Limited
208414,12,12,"WEDOS Internet, a.s."
12418,12,12,Quantum CJSC
9123,12,11,"JSC ""TIMEWEB"""
18186,12,11,Nebula Global LLC
43350,12,10,NForce Entertainment B.V.
58243,12,10,TELE AG
131429,12,9,MOBIFONE Corporation
12897,12,9,ENTEGA Medianet GmbH
17511,12,8,OPTAGE Inc.
38880,12,7,Micron21 Datacentre Pty Ltd
12731,12,7,IPHH Internet Port Hamburg GmbH
50245,12,7,Serverel Inc.
31529,12,6,DENIC eG
18530,12,6,"Isomedia, Inc."
906,12,5,DMIT Cloud Services
42649,12,5,Baffin Bay Networks AB
31727,12,5,Node4 Limited
11158,12,5,"NTT America, Inc."
48200,12,5,Opteamax GmbH
394354,12,4,Canadian Internet Registration Authority
140627,12,4,OneQode
31083,12,4,Telepoint Ltd
15967,12,4,Nazwa.pl Sp.z.o.o.
34879,12,3,"OOO ""Sovremennye setevye tekhnologii"""
8301,12,3,Gibtelecom Ltd.
8304,12,3,Ecritel SASU
21385,12,3,Trusted Network GmbH
24812,12,3,RPC HomeNet Ltd.
10094,12,3,Unified National Networks
54825,12,3,Equinix Metal (Packet.net)
38623,12,2,Metfone (Viettel Cambodia)
29457,12,2,Options Technology Ltd
7522,12,2,"STNet, Incorporated"
140227,12,2,"Hong Kong Communications International Co., Limited"
57363,12,1,CDNvideo LLC
50763,12,1,Robert McKay
206804,12,1,EstNOC OU
52075,12,1,Wifirst S.A.S.
62715,12,1,CrashPlan
47481,12,1,Lime HD LLC
