Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
406,39686,96,132,74
407,3741,95,101,62
408,18734,95,101,89
409,52554,94,72,63
410,202,94,77,72
411,15557,94,110,89
412,209735,93,91,85
413,63293,93,86,53
414,8262,93,114,68
415,33132,93,89,88
416,2116,93,82,72
417,2854,93,126,91
418,41798,93,71,62
419,12025,93,96,89
420,58224,93,86,84
421,52873,93,76,67
422,13767,93,95,88
423,5606,92,115,79
424,44600,92,100,77
425,33659,92,90,87
426,703,92,102,74
427,29802,91,107,64
428,35168,90,85,49
429,17494,90,94,48
430,45458,89,87,75
431,10103,89,89,80
432,8529,89,112,24
433,27064,89,77,75
434,28186,88,80,70
435,136557,87,80,55
436,12963,87,100,84
437,42473,87,118,35
438,59692,87,99,60
439,3758,87,95,82
440,31242,87,89,83
441,35708,87,86,73
442,16637,87,93,45
443,2519,87,86,71
444,15412,86,116,33
445,139057,86,112,17
446,3573,85,85,12
447,55824,85,81,81
448,56534,85,93,77
449,57724,84,90,61
450,262907,84,72,58
451,263703,84,64,54
452,35753,84,109,58
453,9829,83,90,75
454,40676,83,74,60
455,7795,83,87,77
456,15802,83,110,39
457,28220,83,79,64
458,26554,82,82,75
459,265038,82,80,69
460,31898,82,117,51
461,12479,82,86,76
462,41051,82,91,75
463,17451,81,88,68
464,38731,81,74,72
465,134654,81,74,59
466,11014,81,83,76
467,9141,80,72,64
468,271493,79,63,35
469,5056,79,75,68
470,835,79,113,71
471,917,78,102,61
472,12735,78,89,57
473,53115,77,70,64
474,4808,77,70,68
475,11426,77,80,77
476,209533,77,91,77
477,28329,77,70,56
478,62,77,82,74
479,262476,77,73,66
480,47605,76,88,60
481,19108,76,82,72
482,57866,76,94,71
483,35805,76,97,69
484,264997,76,94,64
485,3352,75,76,75
486,8903,75,79,65
487,263276,75,71,60
488,8308,75,103,70
489,45305,74,63,52
490,30058,74,94,54
491,20965,74,62,34
492,262355,73,73,48
493,28260,73,66,56
494,262589,73,84,65
495,11796,73,66,59
496,8452,73,100,57
497,47232,72,73,46
498,139317,72,75,69
499,207841,72,85,64
500,62943,72,70,63
501,35625,72,93,58
502,212508,71,88,54
503,2119,71,79,54
504,30823,71,79,48
505,268314,71,74,43
506,133296,71,73,50
507,33363,71,66,62
508,13367,71,75,69
509,196844,70,65,29
510,12310,70,65,57
511,17439,70,56,43
512,58212,70,75,46
513,39386,69,110,31
514,64126,69,62,54
515,32505,69,66,62
516,201776,69,80,63
517,33650,69,72,68
518,9119,69,109,66
519,4621,68,78,68
520,47147,68,95,53
521,262503,68,63,53
522,17433,67,80,57
523,33652,67,74,67
524,8473,67,89,54
525,8767,67,94,63
526,3754,67,68,67
527,5483,67,63,53
528,263432,66,63,55
529,263966,66,71,62
530,3399,66,73,44
531,29208,65,89,57
532,52872,65,55,46
533,4847,65,65,63
534,28198,65,65,39
535,52863,65,71,53
536,29049,65,95,44
537,35000,65,74,53
538,196695,64,79,62
539,262761,64,62,52
540,132770,64,55,52
541,4651,64,86,27
542,5400,64,86,50
543,11967,64,86,57
544,30600,64,63,57
545,24724,64,72,47
546,7385,64,63,59
547,8849,63,89,53
548,13194,63,92,44
549,306,63,58,57
550,5089,63,69,60
551,15305,63,59,51
552,3267,63,75,61
553,263702,63,65,59
554,266931,62,65,55
555,33668,62,66,60
556,137491,62,66,55
557,6789,62,75,57
558,14868,62,65,58
559,2687,62,79,59
560,17222,62,71,60
561,28189,62,70,54
562,36994,62,73,32
563,33490,62,65,62
564,62610,61,68,58
565,3212,61,67,43
566,12297,61,80,44
567,63023,61,94,54
568,20632,61,61,60
569,3170,61,83,51
570,49800,61,96,61
571,132280,61,69,59
572,9848,61,68,51
573,15994,61,65,57
574,14259,61,63,52
575,141137,61,64,53
576,58511,60,68,30
577,262740,60,56,49
578,12541,60,59,55
579,19009,59,68,57
580,50384,59,70,31
581,26042,59,77,54
582,719,59,57,55
583,139901,59,80,45
584,35104,59,66,40
585,35699,59,63,50
586,35819,59,66,53
587,4515,59,60,50
588,7725,59,65,59
589,262847,58,56,48
590,9507,58,66,47
591,8449,58,50,42
592,25899,58,64,53
593,262191,58,60,58
594,43727,57,93,44
595,58656,57,50,43
596,33660,57,62,57
597,7459,57,65,54
598,41095,57,77,34
599,600,57,63,56
600,8412,57,71,57
601,2860,57,61,47
602,45430,57,96,27
603,3302,56,66,50
604,52444,56,61,53
605,5391,56,58,46
606,28173,56,59,49
607,5713,56,81,41
608,45177,56,58,48
609,6774,56,86,30
610,55818,56,79,35
611,34309,55,78,42
612,41313,55,75,41
